根據您篩選的結果，總計有145筆資料，當前資料為1-145筆，看更多請至國泰證券app查詢
股名,日期,成交股數,淨收付金額,買賣別,成交價,成本,手續費,交易稅,融資金額/券擔保品,資自備款/券保證金,利息,稅款,券手續費/標借費,委託書號
美時,2026/05/14,10,"-1,981",現買,198,"1,980",1,0,0,0,0,0,0,k0WRq
友達,2026/05/14,260,"5,053",現賣,19.5,"5,070",2,15,0,0,0,0,0,k0ViB
穩懋,2026/05/14,5,"-2,431",現買,486,"2,430",1,0,0,0,0,0,0,k08ZH
榮科,2026/05/14,10,-901,現買,90,900,1,0,0,0,0,0,0,k0WFz
國泰永續高股息,2026/05/11,100,"2,823",現賣,28.26,"2,826",1,2,0,0,0,0,0,k0nXZ
台積電,2026/05/11,1,"-2,251",現買,2250,"2,250",1,0,0,0,0,0,0,k0MHr
榮科,2026/05/11,10,957,現賣,96,960,1,2,0,0,0,0,0,k0M85
國泰永續高股息,2026/05/08,200,"5,617",現賣,28.12,"5,624",2,5,0,0,0,0,0,k0F9z
友達,2026/05/08,80,"-1,429",現買,17.85,"1,428",1,0,0,0,0,0,0,k0jrh
聯友金屬-創,2026/05/08,5,"-4,001",現買,800,"4,000",1,0,0,0,0,0,0,k0DkI
聯友金屬-創,2026/05/08,3,"-2,482",現買,827,"2,481",1,0,0,0,0,0,0,k0Igr
聯友金屬-創,2026/05/08,5,"-4,096",現買,819,"4,095",1,0,0,0,0,0,0,k0Iuj
聯友金屬-創,2026/05/08,2,"-1,627",現買,813,"1,626",1,0,0,0,0,0,0,k0KUK
聯友金屬-創,2026/05/08,8,"-6,482",現買,810,"6,480",2,0,0,0,0,0,0,k0QUn
聯友金屬-創,2026/05/08,3,"-2,365",現買,788,"2,364",1,0,0,0,0,0,0,k0RSI
聯友金屬-創,2026/05/08,5,"-3,856",現買,771,"3,855",1,0,0,0,0,0,0,k0SEM
聯友金屬-創,2026/05/08,5,"-3,801",現買,760,"3,800",1,0,0,0,0,0,0,k0U1Z
國泰永續高股息,2026/05/07,300,"8,344",現賣,27.85,"8,355",3,8,0,0,0,0,0,k0Tm1
技嘉,2026/05/07,10,"3,115",現賣,312.5,"3,125",1,9,0,0,0,0,0,k0U5V
友達,2026/05/07,80,"-1,485",現買,18.55,"1,484",1,0,0,0,0,0,0,k0cSp
友達,2026/05/07,100,"-1,841",現買,18.4,"1,840",1,0,0,0,0,0,0,k0cUB
穩懋,2026/05/07,10,"5,063",現賣,508,"5,080",2,15,0,0,0,0,0,k0TUW
穩懋,2026/05/07,7,"3,538",現賣,507,"3,549",1,10,0,0,0,0,0,k0Taa
穩懋,2026/05/06,5,"-2,516",現買,503,"2,515",1,0,0,0,0,0,0,k0v3G
南茂,2026/05/06,5,443,現賣,89.1,445,1,1,0,0,0,0,0,k0uiK
榮科,2026/05/05,25,"2,592",現賣,104,"2,600",1,7,0,0,0,0,0,k0bTQ
南茂,2026/05/05,5,418,現賣,84.1,420,1,1,0,0,0,0,0,k09dk
國泰永續高股息,2026/05/04,"1,000","26,114",現賣,26.15,"26,150",10,26,0,0,0,0,0,Ab293
國泰永續高股息,2026/04/30,"1,000","25,515",現賣,25.55,"25,550",10,25,0,0,0,0,0,AI373
穩懋,2026/04/30,8,"4,322",現賣,542,"4,336",1,13,0,0,0,0,0,k02q0
